track_name,artist,track_pop,artist_pop,duration,danceability,energy,acousticness,instrumentalness,liveness,valence,link
"Another Brick in the Wall, Pt. 2",Pink Floyd,78,82,3.9791,0.693,0.394,0.0782,0.000694,0.247,0.721,open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV
Mother,Pink Floyd,66,82,5.58155,0.578,0.15,0.243,0.00707,0.0825,0.12,open.spotify.com/track/1GEOSS415bZVHNuXWlCT6b
Goodbye Blue Sky,Pink Floyd,62,82,2.787316666666667,0.638,0.0811,0.879,0.00313,0.314,0.0503,open.spotify.com/track/0ESdtt9cjGZUkUbaubSrv2
"Another Brick in the Wall, Pt. 3",Pink Floyd,58,82,1.2401833333333334,0.653,0.472,0.0554,7.69e-05,0.397,0.448,open.spotify.com/track/5A7eooPKJHtr0UJmatjH4a
Hey You,Pink Floyd,70,82,4.640666666666666,0.587,0.302,0.223,0.00216,0.128,0.19,open.spotify.com/track/7F02x6EKYIQV3VcTaTm7oN
Waiting for the Worms,Pink Floyd,55,82,3.9516166666666668,0.568,0.413,0.582,0.00541,0.535,0.634,open.spotify.com/track/2DVkYfl2YuOMlRfC98srEG
High Hopes,Pink Floyd,60,82,8.516066666666667,0.519,0.413,0.205,0.152,0.351,0.267,open.spotify.com/track/5a4MgIUSf9K8wXLSm6xPEx
Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd,69,82,13.51795,0.264,0.294,0.772,0.686,0.107,0.0402,open.spotify.com/track/6pnwfWyaWjQiHCKTiZLItr
Shine On You Crazy Diamond (Pts. 6-9),Pink Floyd,60,82,12.455416666666666,0.288,0.485,0.576,0.9,0.322,0.124,open.spotify.com/track/21j1PsCiTaO8ZW88UZrh3A
What Do You Want from Me,Pink Floyd,60,82,4.359783333333334,0.515,0.565,0.113,1.35e-05,0.122,0.374,open.spotify.com/track/3Tsh9pjiJ5cvmuiZALdgVz
Keep Talking,Pink Floyd,53,82,6.177766666666667,0.497,0.771,0.187,0.00895,0.0788,0.24,open.spotify.com/track/0vI64OhYqTo6KYswDlx0yT
I Was Made For Lovin' You,KISS,0,76,4.520666666666667,0.768,0.852,0.213,7.45e-05,0.0723,0.867,open.spotify.com/track/2ZSCy3P1QzpJySCWA6NRIU
Rock And Roll All Nite,KISS,0,76,2.8122166666666666,0.656,0.931,0.046,0.0,0.0543,0.909,open.spotify.com/track/7990Xs9HQx7FXVIDVPEwj9
Heaven's On Fire,KISS,0,76,3.3566666666666665,0.679,0.866,0.00376,3.1e-05,0.312,0.785,open.spotify.com/track/12A0IAyIegPcMStxpk47YM
Detroit Rock City,KISS,0,76,3.598316666666667,0.546,0.91,0.0442,5.61e-05,0.263,0.458,open.spotify.com/track/7Dtukb9NLJs1i0lohMlIC5
Crazy Crazy Nights,KISS,0,76,3.7925833333333334,0.593,0.864,0.426,0.0,0.725,0.734,open.spotify.com/track/7D7tJseXUZAxhg7l8RbTOj
Forever,KISS,0,76,3.8651,0.413,0.829,0.06,3.49e-06,0.0673,0.488,open.spotify.com/track/3Pl3LQ3ideKM517Dcnb5wn
Every Rose Has Its Thorn - Remastered 2003,Poison,74,67,4.336216666666667,0.533,0.637,0.16,1.12e-05,0.369,0.292,open.spotify.com/track/43GS3mtezoIFiuIZCLLiDY
Nothin' But A Good Time - Remastered 2006,Poison,70,67,3.7477666666666667,0.576,0.974,0.0202,0.0,0.348,0.531,open.spotify.com/track/2V8KvnD5LVeeDChMWEkSzC
Talk Dirty To Me,Poison,55,67,3.732666666666667,0.507,0.804,0.0211,0.00248,0.381,0.708,open.spotify.com/track/01R0Xdwje645C6xFCnMRvm
